page_number,kanji,meaning,on_yomi,kun_yomi,on_yomi_words,kun_yomi_words,explanation,jlpt_level
903,壁,벽 벽,ヘキ,かべ,"[{'kanji': '絶壁', 'reading': 'ぜっぺき'}, {'kanji': '土', 'reading': 'ど'}, {'kanji': '壁', 'reading': 'へき'}, {'kanji': '岩壁', 'reading': 'がんぺき'}]",[],"壁 = 辟 + 土。 (소리부 겸 의미부)「辟」(ヘキ)는 ""피하다, 숨다""라는 뜻의 글자입니다(링크 참조). (의미부)「土」는 ""흙""을 뜻합니다 壁는 ""흙벽(土) 뒤로 도망쳐 숨다(辟)"" -> ""벽""이라는 뜻의 글자입니다. (辟는 소리부도 겸함)",N2
904,仮,거짓 가,"ケ, カ",かり,"[{'kanji': '仮', 'reading': 'か'}, {'kanji': '面', 'reading': 'めん'}, {'kanji': '仮', 'reading': 'か'}, {'kanji': '定', 'reading': 'てい'}, {'kanji': '仮', 'reading': 'か'}, {'kanji': '設', 'reading': 'せつ'}, {'kanji': '仮', 'reading': 'け'}, {'kanji': '病', 'reading': 'びょう'}]","[{'kanji': '仮契約', 'reading': 'かりけいやく'}, {'kanji': '仮', 'reading': 'かり'}, {'kanji': '姿', 'reading': 'すがた'}]","仮 = 亻 + 反。 「亻」는 ""사람""을 뜻합니다. 「反」는 ""뒤집다, 반대""라는 뜻입니다. 仮는 ""사실과 반대의(反) 말만 하는 사람(亻)"" -> ""거짓말쟁이"" -> ""거짓, 가짜""라는 뜻의 글자입니다.",N2
905,純,순수할 순,ジュン,,"[{'kanji': '純', 'reading': 'じゅん'}, {'kanji': '粋', 'reading': 'すい'}, {'kanji': '純情', 'reading': 'じゅんじょう'}, {'kanji': '純', 'reading': 'じゅん'}, {'kanji': '潔', 'reading': 'けつ'}, {'kanji': '純', 'reading': 'じゅん'}, {'kanji': '白', 'reading': 'ぱく'}, {'kanji': '純', 'reading': 'じゅん'}, {'kanji': '真', 'reading': 'しん'}]",[],"純 = 糸 + 屯。 「糸」는 ""실""을 뜻합니다. 「屯」는 ""뿌리깊은 나무""를 그린 글자입니다(링크 참조). 純는, 이라는 뜻의 글자입니다.",N2
906,盗,훔칠 도,トウ,"ぬす, む","[{'kanji': '盗難', 'reading': 'とうなん'}, {'kanji': '強盗', 'reading': 'ごうとう'}, {'kanji': '盗賊', 'reading': 'とうぞく'}]",[],"盗 = 冫 + 欠 + 皿。 「欠」는 ""입을 벌린 사람""을 뜻합니다. 冫는 여기서는 ""침방울""을 그린 모양자입니다. 「皿」는 ""접시""를 뜻합니다. 盗는 ""남의 접시(皿) 위의 음식을 보며 군침(冫)을 흘리는(欠) 사람""이라는 뜻입니다. ""남의 음식을 탐내서 훔쳐먹다"" -> ""훔치다, 도둑""이라는 의미입니다.",N2
907,吸,마실 흡,キュウ,"す, う","[{'kanji': '吸収', 'reading': 'きゅうしゅう'}, {'kanji': '呼', 'reading': 'こ'}, {'kanji': '吸', 'reading': 'きゅう'}, {'kanji': '吸', 'reading': 'きゅう'}, {'kanji': '血', 'reading': 'けつ'}]",[],"吸 = 口 + 及。 (의미부)「口」는 ""입""을 뜻합니다. (소리부 겸 의미부)及(キュウ - ""미칠 급"")은 ""이르다, 미치다""라는 뜻의 상용한자입니다. 吸는 ""공기가 폐에 닿도록(及)숨을 들이마시다(口)"" -> ""숨을 들이쉬다""라는 뜻의 글자입니다. (及는 소리부도 겸함)",N2
908,看,볼 간,カン,,"[{'kanji': '看', 'reading': 'かん'}, {'kanji': '護', 'reading': 'ご'}, {'kanji': '看', 'reading': 'かん'}, {'kanji': '護師', 'reading': 'ごし'}, {'kanji': '看', 'reading': 'かん'}, {'kanji': '護', 'reading': 'ご'}, {'kanji': '婦', 'reading': 'ふ'}, {'kanji': '看板', 'reading': 'かんばん'}]",[],"看 = 手 + 目。 「手」는 ""손""을 뜻합니다. 「目」는 ""눈""을 뜻합니다. 看는 ""자세히 살펴보며(目) 돌보다(手)"" -> ""살펴보다, 보살피다""라는 뜻의 글자입니다.",N2
909,翌,다음날 익,ヨク,,"[{'kanji': '翌日', 'reading': 'よくじつ'}, {'kanji': '翌年', 'reading': 'よくねん'}]",[],"翌 = 羽 + 立。 「羽」는 ""날개""를 뜻합니다. 「立」는 ""서다""라는 뜻입니다. 翌는 ""새가 자리에서 일어선(立) 다음에 날아가다(羽)"" -> ""이튿날, 다음""이라는 뜻의 글자입니다.",N2
910,快,쾌할 쾌,カイ,"こころよ, い","[{'kanji': '爽快', 'reading': 'そうかい'}, {'kanji': '明快', 'reading': 'めいかい'}, {'kanji': '快適', 'reading': 'かいてき'}, {'kanji': '快活', 'reading': 'かいかつ'}]",[],"快 = 忄 + 夬。 「忄」는 ""마음""을 뜻합니다. 夬는 여기서는""활(𠃍)을 쏘는 사람(大)""을 그린 모양자입니다(296.「決」참조). 快는 ""활을 쏘며(夬) 사냥을 즐기는 상쾌한 마음(忄)"" -> ""상쾌하다""라는 뜻의 글자입니다.",N2
911,片,조각 편,ヘン,かた,"[{'kanji': '破', 'reading': 'は'}, {'kanji': '片', 'reading': 'へん'}, {'kanji': '断片', 'reading': 'だんぺん'}, {'kanji': '片鱗', 'reading': 'へんりん'}]","[{'kanji': '片足', 'reading': 'かたあし'}, {'kanji': '片', 'reading': 'かた'}, {'kanji': '手', 'reading': 'て'}, {'kanji': '片道', 'reading': 'かたみち'}]","片는 ""나무판자를 이어붙인 모습""을 그린 상형문자입니다. ""판자 조각"" -> ""조각, 파편""이라는 의미입니다.",N2
912,敬,공경 경,ケイ,"う, うやま","[{'kanji': '尊敬', 'reading': 'そんけい'}, {'kanji': '敬', 'reading': 'けい'}, {'kanji': '意', 'reading': 'い'}, {'kanji': '敬', 'reading': 'けい'}, {'kanji': '語', 'reading': 'ご'}, {'kanji': '恭', 'reading': 'きょう'}, {'kanji': '敬', 'reading': 'けい'}]",[],"敬 =苟 +攵。 苟는 여기서는 ""귀(艹)를 쫑긋 세운 개(句)""의 모습을 그린 모양자입니다. 「攵」는 ""때리다, 치다""라는 뜻입니다. 敬는 ""개(苟)를 때려서(攵) 예절을 갖추도록 훈육하다"" -> ""공경하다, 존경하다""라는 뜻의 글자입니다.",N2
913,悩,번뇌할 뇌,ノウ,"む, なや, ます","[{'kanji': '苦', 'reading': 'く'}, {'kanji': '悩', 'reading': 'のう'}, {'kanji': '煩悩', 'reading': 'ぼんのう'}]",[],"悩 = 忄 + ⺍ + 凶。 (의미부)「忄」는 ""마음""을 뜻합니다. (소리부 겸 의미부)⺍+凶는 여기서는「脳」(ノウ)가 축약된 것으로, ""뇌""를 뜻합니다. 悩는 ""머릿속(脳)의 고민으로 마음(忄)이 괴롭다"" -> ""고민하다, 괴로워하다""라는 뜻의 글자입니다. (脳는 소리부도 겸함)",N2
914,泉,샘 천,セン,いずみ,"[{'kanji': '温泉', 'reading': 'おんせん'}, {'kanji': '源泉', 'reading': 'げんせん'}]","[{'kanji': '泉', 'reading': 'いずみ'}]","泉 = 白 + 水。 「白」는 ""흰색""을 뜻합니다. 「水」는 ""물""을 뜻합니다. 泉는 ""맑은(白) 물(水)"" -> ""샘, 샘물""이라는 뜻의 글자입니다.",N2
915,御,거느릴 어,"ゴ, ギョ",おん,"[{'kanji': '制御', 'reading': 'せいぎょ'}, {'kanji': '防御', 'reading': 'ぼうぎょ'}, {'kanji': '御', 'reading': 'ご'}, {'kanji': '飯', 'reading': 'はん'}]","[{'kanji': '御曹', 'reading': 'おんぞう'}, {'kanji': '司', 'reading': 'し'}, {'kanji': '御社', 'reading': 'おんしゃ'}]","御 = 彳 + 午 + 止 + 卩。 (의미부)「彳」는 ""길""을 뜻합니다. (소리부)「午」(ゴ)는 여기서는 소리부(ゴ -> ギョ・ゴ)의 역할만 하고 있습니다. (의미부)「止」는 ""발""을 뜻합니다. (의미부)「卩」는 ""무릎꿇은 사람""을 뜻합니다. 御는 ""길(彳)에서 왕의 발밑(止)에 꿇어 엎드린(卩) 백성들"" -> ""거느리다, 통치하다""라는 뜻의 글자입니다(午는 소리부).",N2
916,荒,거칠 황,コウ,"あ, あら, い, らす, れる","[{'kanji': '荒', 'reading': 'こう'}, {'kanji': '涼', 'reading': 'りょう'}, {'kanji': '荒', 'reading': 'こう'}, {'kanji': '野', 'reading': 'や'}, {'kanji': '荒廃', 'reading': 'こうはい'}]",[],"荒 = 艹 + 亡 + 川。 「艹」는 ""풀""을 뜻합니다. 「川」는 ""강, 하천""을 뜻합니다. 「亡」는 ""망하다""라는 뜻입니다. 荒는 ""풀(艹) 한 포기도 물(川) 한 모금도 없는 버려진(亡) 땅"" -> ""거친, 황폐한""이라는 뜻의 글자입니다.",N2
917,硬,굳을 경,コウ,"かた, い","[{'kanji': '硬', 'reading': 'こう'}, {'kanji': '直', 'reading': 'ちょく'}, {'kanji': '強', 'reading': 'きょう'}, {'kanji': '硬', 'reading': 'こう'}, {'kanji': '硬', 'reading': 'こう'}, {'kanji': '度', 'reading': 'ど'}]",[],"硬 = 石 + 更。 (의미부)「石」는 ""돌""을 뜻합니다. (소리부 겸 의미부)「更」(コウ)는 본래 ""회초리로 때리는 모습""을 그린 글자입니다(링크 참조). 硬는 ""돌(石)을 두드리다(更)"" -> ""딱딱한, 단단한""이라는 뜻의 글자입니다. (更는 소리부도 겸함)",N2
918,埋,묻을 매,マイ,"める, う, もれる, まる","[{'kanji': '埋葬', 'reading': 'まいそう'}, {'kanji': '埋設', 'reading': 'まいせつ'}, {'kanji': '埋伏', 'reading': 'まいふく'}]",[],"埋 = 土 + 里。 「土」는 ""흙""을 뜻합니다. 「里」는 ""마을""을 뜻합니다. 埋는 ""마을(里) 앞의 공동묘지(土)"" -> ""묻다, 묻히다""라는 뜻의 글자입니다.",N2
919,袋,자루 대,タイ,ふくろ,"[{'kanji': '有袋類', 'reading': 'ゆうたいるい'}]","[{'kanji': '手', 'reading': 'て'}, {'kanji': '袋', 'reading': 'ぶくろ'}, {'kanji': '紙', 'reading': 'かみ'}, {'kanji': '袋', 'reading': 'ぶくろ'}]","袋 = 代 + 衣。 (소리부)「代」(タイ)는 여기서는 소리부의 역할만 하고 있습니다. (의미부)「衣」는 ""옷""을 뜻합니다. 袋는 ""옷(衣) 안의 주머니"" -> ""주머니, 자루""라는 뜻의 글자입니다(代는 소리부).",N2
920,忘,잊을 망,ボウ,"わす, れる","[{'kanji': '忘', 'reading': 'ぼう'}, {'kanji': '却', 'reading': 'きゃく'}, {'kanji': '忘年会', 'reading': 'ぼうねんかい'}]",[],"忘 = 亡 + 心。 (소리부 겸 의미부)「亡」(ボウ)는 ""망하다, 죽다""라는 뜻입니다. (의미부)「心」는 ""마음""을 뜻합니다. 忘는 ""마음(心)에서 사라지다(亡)"" -> ""잊다""라는 뜻의 글자입니다. (亡는 소리부도 겸함)",N2
921,吹,불 취,スイ,"く, ふ","[{'kanji': '吹奏楽', 'reading': 'すいそうがく'}]",[],"吹 = 口 + 欠。 「口」는 ""입""을 뜻합니다. 「欠」는 ""입을 벌린 사람, 입으로 하는 동작""을 뜻합니다. 吹는 ""입(口)을 벌리고(欠) 입김을 불다"" -> ""불다""라는 뜻의 글자입니다.",N2
922,宝,보배 보,ホウ,たから,"[{'kanji': '宝石', 'reading': 'ほうせき'}, {'kanji': '国宝', 'reading': 'こくほう'}, {'kanji': '家', 'reading': 'か'}, {'kanji': '宝', 'reading': 'ほう'}]","[{'kanji': '宝', 'reading': 'たから'}, {'kanji': '物', 'reading': 'もの'}]","宝 = 宀 + 玉。 「宀」는 ""집""을 뜻합니다. 「玉」는 ""구슬, 보석""을 뜻합니다. 宝는 ""집(宀)에 있는 값비싼 보석(玉)"" -> ""보물""이라는 뜻의 글자입니다.",N2
923,封,봉할 봉,"フウ, ホウ",,"[{'kanji': '封印', 'reading': 'ふういん'}, {'kanji': '封', 'reading': 'ふう'}, {'kanji': '鎖', 'reading': 'さ'}, {'kanji': '封建', 'reading': 'ほうけん'}, {'kanji': '封', 'reading': 'ほう'}, {'kanji': '土', 'reading': 'ど'}]",[],"封 = 圭 + 寸。 圭는 ""흙더미(土+土)""라는 뜻입니다. 「寸」는 ""손""을 뜻합니다. 封는 ""흙더미(圭) 속에 묻어두다(寸)"" -> ""봉하다""라는 뜻의 글자입니다.",N2
924,胸,가슴 흉,キョウ,"むね, むな","[{'kanji': '胸中', 'reading': 'きょうちゅう'}, {'kanji': '胸', 'reading': 'きょう'}, {'kanji': '部', 'reading': 'ぶ'}]",[],"胸 = 月 + 匈。 (의미부)「月」는 ""신체의 일부""를 뜻합니다. (의미부)勹는 여기서는 ""(안쪽을) 품은 모습""을 그린 모양자입니다. (소리부 겸 의미부)凶(キョウ - ""흉할 흉"")은 ""흉하다, 간악하다""라는 뜻의 상용한자입니다. 胸는 ""신체의 일부(月) + 흉한 생각(凶)을 품은(勹) 곳"" -> ""가슴""이라는 뜻의 글자입니다. (凶는 소리부도 겸함)",N2
925,娘,계집 낭,,むすめ,[],"[{'kanji': '娘', 'reading': 'むすめ'}, {'kanji': '小', 'reading': 'こ'}, {'kanji': '娘', 'reading': 'むすめ'}]","娘 = 女 + 良。 「女」는 ""여자""를 뜻합니다. 「良」는 ""좋다""라는 뜻입니다. 娘는 ""착한(良) 딸아이(女)"" -> ""처녀, 소녀, 딸""이라는 뜻의 글자입니다.",N2
926,砂,모래 사,"サ, シャ",すな,"[{'kanji': '砂', 'reading': 'さ'}, {'kanji': '糖', 'reading': 'とう'}, {'kanji': '砂', 'reading': 'さ'}, {'kanji': '漠', 'reading': 'ばく'}, {'kanji': '砂', 'reading': 'さ'}, {'kanji': '金', 'reading': 'きん'}, {'kanji': '土', 'reading': 'ど'}, {'kanji': '砂', 'reading': 'しゃ'}]","[{'kanji': '砂', 'reading': 'すな'}, {'kanji': '砂', 'reading': 'すな'}, {'kanji': '場', 'reading': 'ば'}]","砂 = 石 + 少。 「石」는 ""돌""을 뜻합니다. 「少」는 ""적다""라는 뜻입니다. 砂는 ""돌(石)이 잘게(少) 갈린 것"" -> ""모래""라는 뜻의 글자입니다.",N2
927,誤,그르칠 오,ゴ,"る, あやま","[{'kanji': '誤', 'reading': 'ご'}, {'kanji': '解', 'reading': 'かい'}, {'kanji': '錯', 'reading': 'さく'}, {'kanji': '誤', 'reading': 'ご'}, {'kanji': '正', 'reading': 'せい'}, {'kanji': '誤', 'reading': 'ご'}]",[],"誤 = 言 + 呉。 (소리부 겸 의미부)「呉」(ゴ)는 ""머리가 옆으로 기울어진 사람""을 그린 글자입니다(링크 참조). (의미부)「言」는 ""말""을 뜻합니다. 誤는 ""틀린 말(言)에 고개를 갸우뚱하다(呉)"" -> ""틀리다, 실수하다""라는 뜻의 글자입니다. (呉는 소리부도 겸함)",N2
928,賢,어질 현,ケン,"かしこ, い","[{'kanji': '賢明', 'reading': 'けんめい'}, {'kanji': '賢人', 'reading': 'けんじん'}, {'kanji': '聖賢', 'reading': 'せいけん'}]",[],"賢 = 臣 + 又 + 貝。 「臣」는 ""신하""를 뜻합니다. 「又」는 ""손""을 뜻합니다. 「貝」는 ""돈, 재물""을 뜻합니다. 賢는 ""빈민들에게 재물(貝)을 나누어주는(又) 신하(臣)"" -> ""어질다, 현명하다""라는 뜻의 글자입니다.",N2
929,腕,팔뚝 완,ワン,うで,"[{'kanji': '腕', 'reading': 'わん'}, {'kanji': '力', 'reading': 'りょく'}, {'kanji': '手腕', 'reading': 'しゅわん'}]",[],"腕 = 月 + 宛。 「月」는 ""신체의 일부""를 뜻합니다. 宛는 여기서는 ""사람의 목~어깨(宀)와 양팔(夕+㔾)""을 그린 모양자입니다. 腕는 ""신체의 일부(月) + 양팔(宛)"" -> ""팔뚝, 팔, 실력""이라는 뜻의 글자입니다.",N2
930,較,견줄 교,カク,,"[{'kanji': '比', 'reading': 'ひ'}, {'kanji': '較', 'reading': 'かく'}]",[],"較 = 車 + 交。 「車」는 ""수레, 차""를 뜻합니다. 「交」는 ""엇갈리다, 교차하다""라는 뜻입니다. 較는 ""엇갈려 지나가는(交) 두 수레(車)의 속도를 비교하다"" -> ""비교하다""라는 뜻의 글자입니다.",N2
931,床,평상 상,ショウ,"ゆか, とこ","[{'kanji': '起', 'reading': 'き'}, {'kanji': '床', 'reading': 'しょう'}, {'kanji': '病床', 'reading': 'びょうしょう'}, {'kanji': '温', 'reading': 'おん'}, {'kanji': '床', 'reading': 'しょう'}]","[{'kanji': '寝', 'reading': 'ね'}, {'kanji': '床', 'reading': 'どこ'}, {'kanji': '床下', 'reading': 'ゆかした'}]","床 = 广 + 木。 「广」는 ""집, 건물""을 뜻합니다. 「木」는 ""나무""를 뜻합니다. 床는 ""집(广)의 나무바닥(木)"" -> ""평상, 상""이라는 뜻의 글자입니다.",N2
932,慣,익숙할 관,カン,"らす, れる, な","[{'kanji': '慣例', 'reading': 'かんれい'}, {'kanji': '慣性', 'reading': 'かんせい'}, {'kanji': '習', 'reading': 'しゅう'}, {'kanji': '慣', 'reading': 'かん'}, {'kanji': '慣', 'reading': 'かん'}, {'kanji': '習', 'reading': 'しゅう'}, {'kanji': '慣行', 'reading': 'かんこう'}]",[],"慣 = 忄 + 貫。 (의미부)「忄」는 ""마음""을 뜻합니다. (소리부 겸 의미부)貫(カン - ""꿸 관"")은 ""꿰다, 관통하다""라는 뜻의 상용한자입니다. 慣는 ""마음(忄)에 깊이 박힌(貫) 습관"" -> ""습관, 익숙해지다""라는 뜻의 글자입니다. (貫는 소리부도 겸함)",N2
933,尊,높을 존,ソン,"とうと, たっと, ぶ, い","[{'kanji': '尊敬', 'reading': 'そんけい'}, {'kanji': '尊', 'reading': 'そん'}, {'kanji': '重', 'reading': 'ちょう'}]",[],"尊 = 丷 + 酉 + 寸。 「酉」는 ""술병, 술""을 뜻합니다. 丷는 여기서는 ""따뜻한 술에서 올라오는 김""을 그린 모양자입니다. 「寸」는 ""손""을 뜻합니다. 尊는 ""윗사람에게 따뜻한 술(丷+酉)을 따라 올리다(寸)"" -> ""존경하다, 소중하다""라는 뜻의 글자입니다.",N2
934,窓,창 창,ソウ,まど,"[{'kanji': '窓外', 'reading': 'そうがい'}, {'kanji': '同窓会', 'reading': 'どうそうかい'}]","[{'kanji': '窓', 'reading': 'まど'}, {'kanji': '窓口', 'reading': 'まどぐち'}, {'kanji': '窓際', 'reading': 'まどぎわ'}]","窓 = 穴 + 厶 + 心。 「穴」는 ""구멍""을 뜻합니다. 「厶」는 ""사사로운, 개인적인""이라는 뜻입니다. 「心」는 ""마음""을 뜻합니다. 窓는 ""사적인(厶) 마음(心)이 엿보이는 구멍(穴)"" -> ""마음의 창"" -> ""창문""이라는 뜻의 글자입니다.",N2
935,柔,부드러울 유,"ニュウ, ジュウ","らか, らかい, やわ","[{'kanji': '柔', 'reading': 'じゅう'}, {'kanji': '軟', 'reading': 'なん'}, {'kanji': '柔', 'reading': 'じゅう'}, {'kanji': '道', 'reading': 'どう'}, {'kanji': '柔順', 'reading': 'じゅうじゅん'}, {'kanji': '温', 'reading': 'おん'}, {'kanji': '柔', 'reading': 'じゅう'}, {'kanji': '柔', 'reading': 'にゅう'}, {'kanji': '和', 'reading': 'わ'}, {'kanji': '柔弱', 'reading': 'にゅうじゃく'}]",[],"柔 = 矛 + 木。 矛는 여기서는 ""(나무에 돋아난) 새순""을 그린 모양자입니다. 「木」는 ""나무""를 뜻합니다. 柔는 ""나무(木)에 돋아난 새순(矛)"" -> ""부드러운, 유순한""이라는 뜻의 글자입니다.",N2
936,殿,전각 전,"テン, デン","どの, との","[{'kanji': '神殿', 'reading': 'しんでん'}, {'kanji': '殿堂', 'reading': 'でんどう'}, {'kanji': '宮', 'reading': 'きゅう'}, {'kanji': '殿', 'reading': 'でん'}, {'kanji': '殿', 'reading': 'でん'}, {'kanji': '下', 'reading': 'か'}, {'kanji': '御', 'reading': 'ご'}, {'kanji': '殿', 'reading': 'てん'}]","[{'kanji': '殿方', 'reading': 'とのがた'}, {'kanji': '殿様', 'reading': 'とのさま'}, {'kanji': '山', 'reading': 'やま'}, {'kanji': '田', 'reading': 'だ'}, {'kanji': '殿', 'reading': 'どの'}]","殿 =尸 + 共+ 殳。 「尸」는 ""앉아있는 사람""을 뜻합니다. 「共」는 본래 ""쟁반을 두 손으로 받쳐든 모습""을 그린 글자입니다(링크 참조). 「殳」는 ""때리다, 휘두르다""라는 뜻입니다. 殿는 ""자리에 앉아(尸) 시중을 받으며(共) 채찍을 휘두르는(殳) 귀족"" -> ""전각, 궁전""이라는 뜻의 글자입니다.",N2
937,濃,짙을 농,ノウ,"こ, い","[{'kanji': '濃厚', 'reading': 'のうこう'}, {'kanji': '濃', 'reading': 'のう'}, {'kanji': '縮', 'reading': 'しゅく'}, {'kanji': '濃', 'reading': 'のう'}, {'kanji': '度', 'reading': 'ど'}]",[],"濃 = 氵 + 農。 (의미부)「氵」는 ""물""을 뜻합니다. (소리부 겸 의미부)「農」(ノウ)는 ""농사""를 뜻합니다. 濃는 ""논(農)의 흙탕물(氵)"" -> ""진하다, 짙다""라는 뜻의 글자입니다. (農는 소리부도 겸함)",N2
938,液,진 액,エキ,,"[{'kanji': '液体', 'reading': 'えきたい'}, {'kanji': '血液', 'reading': 'けつえき'}, {'kanji': '液', 'reading': 'えき'}, {'kanji': '化', 'reading': 'か'}]",[],"液 = 氵 + 夜。 「氵」는 ""물""을 뜻합니다. 「夜」는 ""밤""을 뜻합니다. 液는 ""밤늦게까지(夜) 일하며 흘리는 땀(氵)"" -> ""액체""라는 뜻의 글자입니다.",N2
939,貧,가난할 빈,"ビン, ヒン","しい, まず","[{'kanji': '貧', 'reading': 'ひん'}, {'kanji': '富', 'reading': 'ぷ'}, {'kanji': '貧', 'reading': 'ひん'}, {'kanji': '弱', 'reading': 'じゃく'}, {'kanji': '貧血', 'reading': 'ひんけつ'}, {'kanji': '貧乏', 'reading': 'びんぼう'}]",[],"貧 = 分 + 貝。 「分」는 ""나누다""라는 뜻입니다. 「貝」는 ""돈, 재물""을 뜻합니다. 貧는 ""재물(貝)이 쪼개지다(分)"" -> ""돈이 없다"" -> ""가난하다, 부족하다""라는 뜻의 글자입니다.",N2
940,肩,어깨 견,ケン,かた,"[{'kanji': '比', 'reading': 'ひ'}, {'kanji': '肩', 'reading': 'けん'}, {'kanji': '強', 'reading': 'きょう'}, {'kanji': '肩', 'reading': 'けん'}, {'kanji': '肩甲骨', 'reading': 'けんこうこつ'}]","[{'kanji': '肩', 'reading': 'かた'}, {'kanji': '肩', 'reading': 'かた'}, {'kanji': '車', 'reading': 'ぐるま'}]","肩 = 戸 + 月。 戸는 여기서는 ""사람의 어깨""를 그린 모양자입니다. 「月」는 ""신체의 일부""를 뜻합니다. 肩는 ""신체의 일부(月) + 어깨(戸)"" -> ""어깨""라는 뜻의 글자입니다.",N2
941,零,떨어질/영 영,レイ,,"[{'kanji': '零', 'reading': 'れい'}, {'kanji': '度', 'reading': 'ど'}, {'kanji': '零', 'reading': 'れい'}, {'kanji': '下', 'reading': 'か'}, {'kanji': '零', 'reading': 'れい'}, {'kanji': '時', 'reading': 'じ'}, {'kanji': '零落', 'reading': 'れいらく'}, {'kanji': '零細', 'reading': 'れいさい'}]",[],"零 = 雨 + 令。 (의미부)「雨」는 ""비""를 뜻합니다. (소리부)「令」(レイ)는 여기서는 소리부의 역할만 하고 있습니다. 零는 ""작은 빗방울(雨)"" -> ""아주 작다, 0""이라는 뜻의 글자입니다(令는 소리부).",N2
942,怒,성낼 노,ド,"おこ, る, いか","[{'kanji': '激', 'reading': 'げき'}, {'kanji': '怒', 'reading': 'ど'}, {'kanji': '憤', 'reading': 'ふん'}, {'kanji': '怒', 'reading': 'ど'}]",[],"怒 = 奴 + 心。 (소리부 겸 의미부)奴(ド - ""종 노"")는 ""노예, 종""을 뜻하는 상용한자입니다. (의미부)「心」는 ""마음""을 뜻합니다. 怒는 ""노예(奴)의 억울한 마음(心)"" -> ""화내다, 분노하다""라는 뜻의 글자입니다. (奴는 소리부도 겸함)",N2
943,祖,할아버지 조,ソ,,"[{'kanji': '祖父', 'reading': 'そふ'}, {'kanji': '先', 'reading': 'せん'}, {'kanji': '祖', 'reading': 'ぞ'}, {'kanji': '元', 'reading': 'がん'}, {'kanji': '祖', 'reading': 'そ'}, {'kanji': '祖', 'reading': 'そ'}, {'kanji': '国', 'reading': 'こく'}]",[],"祖 = 礻 + 且。 (의미부)「礻」는 ""종교, 신""을 뜻합니다. (소리부 겸 의미부)「且」(ソ)는 ""비석, 조상, 장례""를 뜻합니다. 祖는 ""조상님(且)의 신령(礻)"" -> ""조상, 시조, 선조""라는 뜻의 글자입니다. (且는 소리부도 겸함)",N2
944,幼,어릴 유,ヨウ,"おさな, い","[{'kanji': '幼', 'reading': 'よう'}, {'kanji': '児', 'reading': 'じ'}, {'kanji': '幼', 'reading': 'よう'}, {'kanji': '稚', 'reading': 'ち'}, {'kanji': '園', 'reading': 'えん'}]",[],"幼 = 幺 + 力。 「幺」는 ""짧은 실, 작다, 어리다""라는 뜻입니다. 「力」는 ""힘""을 뜻합니다. 幼는 ""힘(力)이 약한 어린아이(幺)"" -> ""어린, 미숙한""이라는 뜻의 글자입니다.",N2
945,泊,머무를 박,ハク,"める, まる, と","[{'kanji': '宿', 'reading': 'しゅく'}, {'kanji': '泊', 'reading': 'はく'}, {'kanji': '停泊', 'reading': 'ていはく'}]",[],"泊 = 氵 + 白。 (의미부)「氵」는 ""물""을 뜻합니다. (소리부 겸 의미부)「白」(ハク)는 여기서는 ""조각배""를 그린 모양자로 쓰인 것입니다. 泊는 ""물가(氵)에 정박한 배(白)"" -> ""머무르다, 숙박하다""라는 뜻의 글자입니다. (白는 소리부도 겸함)",N2
946,杯,잔 배,ハイ,さかずき,"[{'kanji': '乾杯', 'reading': 'かんぱい'}, {'kanji': '祝', 'reading': 'しゅく'}, {'kanji': '杯', 'reading': 'はい'}]",[],"杯 = 木 + 不。 「木」는 ""나무""를 뜻합니다. 不는 여기서는 ""술잔""을 그린 모양자입니다. 杯는 ""나무(木)로 만든 술잔(不)"" -> ""술잔, 잔""이라는 뜻의 글자입니다.",N2
947,甘,달 감,カン,"あま, える, やかす, い","[{'kanji': '甘', 'reading': 'かん'}, {'kanji': '味', 'reading': 'み'}, {'kanji': '料', 'reading': 'りょう'}, {'kanji': '甘', 'reading': 'かん'}, {'kanji': '露', 'reading': 'ろ'}, {'kanji': '甘草', 'reading': 'かんぞう'}, {'kanji': '甘受', 'reading': 'かんじゅ'}, {'kanji': '甘言', 'reading': 'かんげん'}]",[],"甘는 ""입에 음식을 넣은 모습""을 그린 상형문자입니다. ""달콤한 음식"" -> ""달다, 만족하다""라는 의미입니다.",N2
948,掃,쓸 소,ソウ,"は, く","[{'kanji': '掃', 'reading': 'そう'}, {'kanji': '除', 'reading': 'じ'}, {'kanji': '一掃', 'reading': 'いっそう'}]",[],"掃 = 扌 + 帚。 「扌」는 ""손""을 뜻합니다. 「帚」는 ""빗자루""를 뜻합니다. 掃는 ""빗자루(帚)를 들고(扌)청소하다"" -> ""쓸다, 제거하다""라는 뜻의 글자입니다.",N2
949,掘,팔 굴,クツ,"る, ほ","[{'kanji': '採掘', 'reading': 'さいくつ'}, {'kanji': '発掘', 'reading': 'はっくつ'}, {'kanji': '盗掘', 'reading': 'とうくつ'}]",[],"掘 = 扌 + 屈。 (의미부)「扌」는 ""손""을 뜻합니다. (소리부 겸 의미부)屈(クツ - ""굽힐 굴"")은 ""굽히다, 움츠리다""라는 뜻의 상용한자입니다. 掘는 ""허리를 굽히고(屈) 땅을 파다(扌)"" -> ""파다, 파내다""라는 뜻의 글자입니다. (屈는 소리부도 겸함)",N2
